State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total Charge
MD,135,408,Yes,Yes,41,173.1,85.0,29.43,203.9,107.0,17.33,78.0,5.5,14.6,15,3.94,0.0,True,34.93
AR,34,510,No,No,0,124.8,82.0,21.22,282.2,98.0,23.99,78.0,14.02,10.0,4,2.7,2.0,False,35.239999999999995
ID,160,415,No,No,0,85.8,77.0,14.59,165.3,110.0,14.05,92.0,8.03,9.2,4,2.48,3.0,False,22.619999999999997
WI,64,510,No,No,0,154.0,67.0,26.18,225.8,118.0,19.19,86.0,11.94,3.5,3,0.95,1.0,False,38.12
OR,59,408,No,Yes,28,120.9,97.0,20.55,213.0,92.0,18.11,116.0,7.34,8.5,5,2.3,2.0,False,27.89
MI,65,415,No,No,0,211.3,120.0,35.92,162.6,122.0,13.82,118.0,6.06,13.2,5,3.56,3.0,False,41.980000000000004
DE,142,408,No,No,0,187.0,133.0,31.79,134.6,74.0,11.44,127.0,10.9,7.4,5,2.0,2.0,False,42.69
ID,119,415,No,No,0,159.1,114.0,27.05,231.3,117.0,19.66,91.0,6.44,8.8,3,2.38,5.0,True,33.49
WY,97,415,No,Yes,24,133.2,135.0,22.64,217.2,58.0,18.46,79.0,3.18,11.0,3,2.97,1.0,False,25.82
IA,52,408,No,No,0,191.9,108.0,32.62,269.8,96.0,22.93,87.0,10.66,7.8,5,2.11,3.0,False,43.28
IN,60,408,No,No,0,220.6,57.0,37.5,211.1,115.0,17.94,129.0,11.21,6.8,3,1.84,1.0,False,48.71
VA,10,408,No,No,0,186.1,112.0,31.64,190.2,66.0,16.17,57.0,12.73,11.4,6,3.08,2.0,False,44.370000000000005
UT,96,415,No,No,0,160.2,117.0,27.23,267.5,67.0,22.74,68.0,10.28,9.3,5,2.51,2.0,False,37.51
WY,87,415,No,No,0,151.0,83.0,25.67,219.7,116.0,18.67,127.0,9.18,9.7,3,2.62,5.0,True,34.85
IN,81,408,No,No,0,175.5,67.0,29.84,249.3,85.0,21.19,98.0,12.16,10.2,3,2.75,1.0,False,42.0
CO,141,415,No,No,0,126.9,98.0,21.57,180.0,62.0,15.3,128.0,6.34,8.0,2,2.16,1.0,False,27.91
CO,121,408,No,Yes,30,198.4,129.0,33.73,75.3,77.0,6.4,77.0,8.15,5.8,3,1.57,3.0,True,41.879999999999995
WI,68,415,No,No,0,148.8,70.0,25.3,246.5,164.0,20.95,103.0,5.84,12.1,3,3.27,3.0,False,31.14
OK,125,408,No,No,0,229.3,103.0,38.98,177.4,126.0,15.08,95.0,8.52,12.0,8,3.24,1.0,False,47.5
ID,174,408,No,No,0,192.1,97.0,32.66,169.9,94.0,14.44,54.0,7.5,11.4,4,3.08,1.0,False,40.16
CA,116,415,No,Yes,34,268.6,83.0,45.66,178.2,142.0,15.15,106.0,7.48,11.6,3,3.13,2.0,False,53.14
MN,74,510,No,Yes,33,193.7,91.0,32.93,246.1,96.0,20.92,92.0,6.21,14.6,3,3.94,2.0,False,39.14
SD,149,408,No,Yes,28,180.7,92.0,30.72,187.8,64.0,15.96,53.0,11.95,12.6,3,3.4,3.0,False,42.67
NC,38,408,No,No,0,131.2,98.0,22.3,162.9,97.0,13.85,106.0,7.15,8.2,6,2.21,2.0,False,29.450000000000003
WA,40,415,No,Yes,41,148.1,74.0,25.18,169.5,88.0,14.41,102.0,9.63,6.2,5,1.67,2.0,False,34.81
WY,43,415,Yes,No,0,251.5,105.0,42.76,212.8,104.0,18.09,67.0,7.1,9.3,4,2.51,0.0,False,49.86
MN,113,408,Yes,No,0,125.2,93.0,21.28,206.4,119.0,17.54,139.0,5.82,8.3,8,2.24,0.0,False,27.1
UT,126,408,No,No,0,211.6,70.0,35.97,216.9,80.0,18.44,60.0,6.91,7.8,1,2.11,1.0,False,42.879999999999995
TX,150,510,No,No,0,178.9,101.0,30.41,169.1,110.0,14.37,100.0,6.69,13.8,3,3.73,4.0,True,37.1
NJ,138,408,No,No,0,241.8,93.0,41.11,170.5,83.0,14.49,104.0,13.29,11.8,7,3.19,3.0,False,54.4
MN,162,510,No,Yes,46,224.9,97.0,38.23,188.2,84.0,16.0,61.0,11.46,12.1,2,3.27,0.0,False,49.69
NM,147,510,No,No,0,248.6,83.0,42.26,148.9,85.0,12.66,109.0,7.76,8.0,4,2.16,3.0,False,50.019999999999996
NV,90,415,No,No,0,203.4,146.0,34.58,226.7,117.0,19.27,105.0,6.86,7.3,4,1.97,1.0,False,41.44
HI,85,415,No,No,0,235.8,109.0,40.09,157.2,94.0,13.36,99.0,8.47,12.0,3,3.24,0.0,False,48.56
MN,50,415,No,No,0,157.1,90.0,26.71,223.3,72.0,18.98,111.0,8.16,6.1,2,1.65,1.0,False,34.870000000000005
DC,82,415,No,No,0,300.3,109.0,51.05,181.0,100.0,15.39,73.0,12.15,11.7,4,3.16,0.0,True,63.199999999999996
NY,144,408,No,No,0,61.6,117.0,10.47,77.1,85.0,6.55,99.0,7.79,8.2,7,2.21,4.0,True,18.26
MN,46,415,No,No,0,214.1,72.0,36.4,164.4,104.0,13.97,113.0,7.99,8.2,3,2.21,2.0,False,44.39
MD,70,408,No,No,0,170.2,98.0,28.93,155.2,102.0,13.19,76.0,10.29,15.0,2,4.05,1.0,False,39.22
WV,144,415,No,No,0,201.1,99.0,34.19,303.5,74.0,25.8,119.0,10.08,13.2,2,3.56,1.0,False,44.269999999999996
OR,116,415,Yes,No,0,215.4,104.0,36.62,204.8,79.0,17.41,109.0,12.53,12.6,5,3.4,3.0,False,49.15
CO,55,408,No,Yes,25,165.6,123.0,28.15,136.1,95.0,11.57,90.0,7.91,11.0,2,2.97,3.0,False,36.06
GA,70,415,No,Yes,24,249.5,101.0,42.42,259.7,98.0,22.07,68.0,10.02,9.8,4,2.65,1.0,False,52.44
TX,106,510,No,No,0,210.6,96.0,35.8,249.2,85.0,21.18,88.0,8.61,12.4,1,3.35,2.0,True,44.41
VT,128,510,No,Yes,29,179.3,104.0,30.48,225.9,86.0,19.2,78.0,14.54,8.6,7,2.32,0.0,False,45.019999999999996
IN,94,408,No,No,0,157.9,105.0,26.84,155.0,101.0,13.18,84.0,8.53,8.0,5,2.16,4.0,True,35.37
WV,111,510,No,No,0,214.3,118.0,36.43,208.5,76.0,17.72,98.0,8.21,12.0,2,3.24,1.0,False,44.64
KY,74,415,No,Yes,35,154.1,104.0,26.2,123.4,84.0,10.49,57.0,9.09,10.9,9,2.94,2.0,False,35.29
NJ,128,415,No,No,0,237.9,125.0,40.44,247.6,93.0,21.05,68.0,9.4,13.9,4,3.75,1.0,True,49.839999999999996
DC,82,510,No,No,0,143.9,61.0,24.46,194.9,105.0,16.57,94.0,4.93,11.1,2,3.0,1.0,False,29.39
LA,155,415,No,No,0,203.4,100.0,34.58,190.9,104.0,16.23,119.0,8.82,8.9,4,2.4,0.0,True,43.4
AR,80,415,No,No,0,124.3,100.0,21.13,173.0,107.0,14.71,62.0,11.39,7.9,9,2.13,1.0,False,32.519999999999996
ME,78,415,No,No,0,252.9,93.0,42.99,178.4,112.0,15.16,105.0,11.88,9.5,7,2.57,3.0,False,54.870000000000005
AZ,90,415,No,No,0,179.1,71.0,30.45,190.6,81.0,16.2,91.0,5.75,10.6,7,2.86,3.0,False,36.2
AK,104,408,No,No,0,278.4,106.0,47.33,81.0,113.0,6.89,137.0,7.34,9.8,5,2.65,1.0,False,54.67
MT,73,415,No,No,0,160.1,110.0,27.22,213.3,72.0,18.13,72.0,7.83,13.0,4,3.51,0.0,False,35.05
AZ,99,415,No,No,0,198.2,87.0,33.69,207.3,76.0,17.62,113.0,8.59,8.7,3,2.35,4.0,False,42.28
MS,120,408,No,No,0,212.1,131.0,36.06,209.4,104.0,17.8,96.0,7.52,5.3,5,1.43,1.0,True,43.58
ID,77,415,No,No,0,251.8,72.0,42.81,205.7,126.0,17.48,109.0,12.38,9.8,7,2.65,2.0,True,55.190000000000005
IA,98,510,No,Yes,21,161.2,114.0,27.4,252.2,83.0,21.44,92.0,7.21,4.4,8,1.19,4.0,False,34.61
MA,108,415,No,No,0,178.3,137.0,30.31,189.0,76.0,16.07,102.0,5.81,14.6,5,3.94,0.0,False,36.12
VT,135,415,No,No,0,151.7,82.0,25.79,119.0,105.0,10.12,100.0,8.1,10.5,6,2.84,0.0,False,33.89
KY,95,408,No,No,0,135.0,99.0,22.95,183.6,106.0,15.61,102.0,11.04,12.5,9,3.38,1.0,False,33.989999999999995
IN,122,408,No,No,0,170.5,94.0,28.99,173.7,109.0,14.76,75.0,11.19,11.3,2,3.05,1.0,False,40.18
AZ,95,408,No,No,0,238.1,65.0,40.48,187.2,98.0,15.91,115.0,8.55,11.8,4,3.19,4.0,False,49.03
MI,36,510,No,Yes,29,281.4,102.0,47.84,202.2,76.0,17.19,113.0,8.42,9.0,6,2.43,2.0,False,56.260000000000005
NM,93,510,No,Yes,21,117.9,131.0,20.04,164.5,115.0,13.98,86.0,9.76,9.8,3,2.65,1.0,False,29.799999999999997
CO,141,415,No,Yes,32,148.6,91.0,25.26,131.1,97.0,11.14,142.0,9.87,10.1,1,2.73,1.0,False,35.13
UT,157,408,No,No,0,229.8,90.0,39.07,147.9,121.0,12.57,108.0,10.86,9.6,7,2.59,3.0,False,49.93
MI,120,408,No,No,0,165.0,100.0,28.05,317.2,83.0,26.96,86.0,5.36,8.3,8,2.24,1.0,False,33.410000000000004
MA,103,415,No,No,0,185.0,117.0,31.45,223.3,94.0,18.98,91.0,10.03,12.6,2,3.4,2.0,False,41.48
AL,98,408,No,No,0,161.0,117.0,27.37,190.9,113.0,16.23,113.0,10.25,12.1,4,3.27,4.0,False,37.620000000000005
DE,125,408,No,No,0,126.7,108.0,21.54,206.0,90.0,17.51,114.0,11.15,13.3,7,3.59,1.0,False,32.69
AZ,63,415,No,No,0,58.9,125.0,10.01,169.6,59.0,14.42,88.0,9.51,9.4,3,2.54,1.0,False,19.52
ME,36,510,Yes,Yes,42,196.8,89.0,33.46,254.9,122.0,21.67,126.0,6.22,20.0,6,5.4,0.0,True,39.68
NJ,64,510,No,No,0,162.6,83.0,27.64,152.3,109.0,12.95,122.0,2.59,14.2,3,3.83,1.0,False,30.23
NV,74,415,No,No,0,282.5,114.0,48.03,219.9,48.0,18.69,115.0,7.65,9.4,4,2.54,1.0,True,55.68
MO,112,510,No,Yes,36,113.7,117.0,19.33,157.5,82.0,13.39,118.0,7.99,10.0,3,2.7,2.0,False,27.32
ID,97,408,No,No,0,239.8,125.0,40.77,214.8,111.0,18.26,81.0,6.45,8.7,5,2.35,2.0,False,47.220000000000006
NE,46,408,No,No,0,210.2,92.0,35.73,227.3,77.0,19.32,116.0,9.0,13.1,7,3.54,1.0,False,44.73
TX,41,408,No,Yes,22,213.8,102.0,36.35,141.8,86.0,12.05,123.0,6.4,7.2,3,1.94,0.0,False,42.75
MD,121,510,No,No,0,190.7,103.0,32.42,183.5,117.0,15.6,103.0,9.94,9.8,4,2.65,3.0,False,42.36
MS,193,415,No,No,0,170.9,124.0,29.05,132.3,95.0,11.25,89.0,5.08,11.6,3,3.13,1.0,False,34.13
NV,130,510,No,No,0,154.2,119.0,26.21,110.2,98.0,9.37,117.0,10.23,9.2,5,2.48,2.0,False,36.44
AZ,85,408,No,No,0,201.4,52.0,34.24,229.4,104.0,19.5,106.0,11.36,12.0,3,3.24,1.0,False,45.6
MS,162,415,No,No,0,70.7,108.0,12.02,157.5,87.0,13.39,82.0,6.97,9.1,3,2.46,4.0,True,18.99
MS,61,510,No,Yes,27,187.5,124.0,31.88,146.6,103.0,12.46,129.0,10.16,6.4,6,1.73,4.0,True,42.04
TX,92,408,No,No,0,91.7,90.0,15.59,193.7,123.0,16.46,86.0,7.88,9.2,4,2.48,2.0,False,23.47
NE,131,408,No,Yes,36,214.2,115.0,36.41,161.7,117.0,13.74,102.0,11.91,9.5,4,2.57,3.0,False,48.31999999999999
NE,90,415,No,No,0,145.5,92.0,24.74,217.7,114.0,18.5,123.0,6.61,10.9,2,2.94,3.0,False,31.349999999999998
CA,75,408,No,No,0,166.3,125.0,28.27,158.2,86.0,13.45,80.0,11.55,6.1,5,1.65,1.0,False,39.82
NJ,78,415,No,No,0,231.0,115.0,39.27,230.4,140.0,19.58,120.0,11.76,9.5,3,2.57,1.0,False,51.03
TX,82,408,No,No,0,200.3,96.0,34.05,201.2,102.0,17.1,60.0,9.27,7.1,1,1.92,4.0,False,43.31999999999999
AR,163,408,No,No,0,197.0,109.0,33.49,202.6,128.0,17.22,80.0,9.29,9.1,10,2.46,1.0,False,42.78
AL,91,510,Yes,No,0,129.9,112.0,22.08,173.3,83.0,14.73,130.0,11.12,11.2,3,3.02,3.0,False,33.199999999999996
NY,75,415,No,Yes,21,175.8,97.0,29.89,217.5,106.0,18.49,134.0,10.69,5.3,4,1.43,5.0,False,40.58
FL,91,510,No,No,0,203.1,106.0,34.53,210.1,113.0,17.86,129.0,8.8,12.0,3,3.24,3.0,False,43.33
VT,103,510,No,No,0,246.5,47.0,41.91,195.5,84.0,16.62,96.0,9.02,11.7,4,3.16,1.0,False,50.92999999999999
VT,117,408,Yes,No,0,167.1,86.0,28.41,177.5,87.0,15.09,132.0,11.22,14.1,7,3.81,2.0,True,39.63
MI,140,415,No,No,0,231.9,101.0,39.42,160.1,94.0,13.61,98.0,4.97,14.3,6,3.86,3.0,False,44.39
WA,127,408,No,No,0,146.7,91.0,24.94,203.5,78.0,17.3,110.0,9.15,13.7,3,3.7,1.0,False,34.09
UT,83,408,Yes,No,0,271.5,87.0,46.16,216.3,126.0,18.39,105.0,5.45,11.7,4,3.16,1.0,False,51.61
LA,121,408,No,No,0,181.5,121.0,30.86,218.4,98.0,18.56,103.0,7.27,8.5,5,2.3,1.0,False,38.129999999999995
RI,145,408,No,Yes,43,257.7,97.0,43.81,162.1,95.0,13.78,86.0,12.91,11.1,4,3.0,2.0,False,56.72
IA,113,408,No,No,0,193.8,99.0,32.95,221.4,125.0,18.82,67.0,7.75,10.6,6,2.86,1.0,False,40.7
NE,117,415,No,No,0,102.8,119.0,17.48,206.7,91.0,17.57,105.0,13.46,10.1,7,2.73,1.0,False,30.94
OH,65,408,No,No,0,187.9,116.0,31.94,157.6,117.0,13.4,86.0,10.23,7.5,6,2.03,1.0,False,42.17
RI,56,415,No,No,0,226.0,112.0,38.42,248.5,118.0,21.12,142.0,6.32,6.9,11,1.86,1.0,False,44.74
OK,96,415,No,No,0,260.4,115.0,44.27,146.0,46.0,12.41,87.0,12.13,11.5,4,3.11,5.0,False,56.400000000000006
LA,151,408,No,No,0,178.7,116.0,30.38,292.1,138.0,24.83,101.0,11.97,9.8,4,2.65,0.0,False,42.35
OH,83,415,No,No,0,337.4,120.0,57.36,227.4,116.0,19.33,114.0,6.93,15.8,7,4.27,0.0,True,64.28999999999999
VA,139,510,No,Yes,23,157.6,129.0,26.79,247.0,96.0,21.0,112.0,11.66,13.7,2,3.7,0.0,False,38.45
MO,6,510,No,No,0,183.6,117.0,31.21,256.7,72.0,21.82,79.0,8.04,10.2,2,2.75,1.0,False,39.25
FL,115,510,No,Yes,24,142.1,124.0,24.16,183.4,129.0,15.59,114.0,7.42,9.6,4,2.59,1.0,False,31.58
SC,87,415,No,No,0,136.3,97.0,23.17,172.2,108.0,14.64,101.0,6.19,7.1,5,1.92,0.0,False,29.360000000000003
VA,141,415,No,No,0,217.1,110.0,36.91,241.5,111.0,20.53,103.0,11.41,12.0,6,3.24,0.0,False,48.31999999999999
IA,141,510,No,Yes,36,187.5,99.0,31.88,241.4,116.0,20.52,105.0,10.33,10.5,5,2.84,3.0,False,42.21
MI,62,415,No,No,0,98.9,103.0,16.81,135.4,122.0,11.51,82.0,10.65,12.2,1,3.29,1.0,False,27.46
OK,146,415,No,No,0,206.3,151.0,35.07,148.6,89.0,12.63,91.0,7.52,6.1,3,1.65,1.0,False,42.59
DE,92,415,No,Yes,33,243.1,92.0,41.33,213.8,92.0,18.17,104.0,10.29,12.1,2,3.27,2.0,False,51.62
GA,185,510,No,Yes,31,189.8,126.0,32.27,163.3,133.0,13.88,126.0,11.92,7.5,3,2.03,1.0,False,44.190000000000005
DC,148,415,No,No,0,202.0,102.0,34.34,243.2,128.0,20.67,90.0,11.76,10.9,3,2.94,1.0,False,46.1
AZ,94,408,No,Yes,38,170.1,124.0,28.92,193.3,116.0,16.43,73.0,4.77,12.8,4,3.46,1.0,False,33.69
AL,32,510,No,No,0,230.9,87.0,39.25,187.4,90.0,15.93,53.0,6.93,6.3,2,1.7,0.0,False,46.18
CO,68,408,No,No,0,237.1,105.0,40.31,223.5,105.0,19.0,79.0,4.38,13.2,2,3.56,1.0,False,44.690000000000005
NH,64,408,No,Yes,27,182.1,91.0,30.96,169.7,98.0,14.42,86.0,7.41,10.6,5,2.86,2.0,False,38.370000000000005
NM,25,415,No,No,0,119.3,87.0,20.28,211.5,101.0,17.98,86.0,12.1,10.5,4,2.84,3.0,False,32.38
OR,65,415,No,No,0,116.8,87.0,19.86,178.9,93.0,15.21,150.0,8.21,14.1,2,3.81,1.0,False,28.07
LA,179,408,No,No,0,219.2,92.0,37.26,149.4,125.0,12.7,104.0,11.01,6.1,5,1.65,0.0,False,48.269999999999996
NE,94,415,No,No,0,252.6,104.0,42.94,169.0,125.0,14.37,106.0,7.69,11.1,7,3.0,2.0,False,50.629999999999995
MN,62,415,No,No,0,147.1,91.0,25.01,190.4,107.0,16.18,115.0,8.78,12.2,3,3.29,0.0,False,33.79
MI,127,415,No,No,0,202.1,103.0,34.36,229.4,86.0,19.5,113.0,8.78,11.5,3,3.11,2.0,False,43.14
AR,116,408,No,No,0,173.5,93.0,29.5,194.1,76.0,16.5,112.0,9.36,16.2,10,4.37,3.0,False,38.86
KS,70,408,No,No,0,232.1,122.0,39.46,292.3,112.0,24.85,112.0,9.05,0.0,0,0.0,3.0,False,48.510000000000005
WV,94,510,Yes,Yes,23,197.1,125.0,33.51,214.5,136.0,18.23,103.0,12.7,9.5,5,2.57,4.0,False,46.209999999999994
AK,126,415,No,No,0,58.2,94.0,9.89,138.7,118.0,11.79,91.0,6.16,11.9,1,3.21,5.0,True,16.05
NY,67,408,No,Yes,36,115.6,111.0,19.65,237.7,94.0,20.2,103.0,7.65,9.9,12,2.67,2.0,False,27.299999999999997
NH,19,408,No,No,0,186.1,98.0,31.64,254.3,57.0,21.62,127.0,9.63,14.6,7,3.94,2.0,False,41.27
VA,170,510,Yes,No,0,259.9,68.0,44.18,245.0,122.0,20.83,121.0,6.05,8.4,3,2.27,3.0,False,50.23
NM,73,415,No,No,0,214.3,145.0,36.43,268.5,135.0,22.82,92.0,10.85,10.8,13,2.92,1.0,False,47.28
NY,106,408,No,No,0,158.7,74.0,26.98,64.3,139.0,5.47,103.0,8.93,10.2,4,2.75,1.0,False,35.91
AZ,93,415,No,No,0,271.6,71.0,46.17,229.4,108.0,19.5,121.0,3.48,10.9,3,2.94,2.0,False,49.65
WY,164,510,No,No,0,160.6,111.0,27.3,163.2,126.0,13.87,112.0,8.42,9.0,3,2.43,1.0,False,35.72
WA,51,408,No,No,0,232.4,109.0,39.51,187.4,95.0,15.93,107.0,10.4,9.1,3,2.46,1.0,False,49.91
CO,107,415,No,No,0,133.8,85.0,22.75,180.5,94.0,15.34,115.0,5.05,8.9,4,2.4,0.0,False,27.8
TX,130,415,No,No,0,176.9,109.0,30.07,90.7,104.0,7.71,69.0,10.71,9.5,2,2.57,1.0,False,40.78
KY,80,408,No,No,0,209.9,74.0,35.68,195.1,77.0,16.58,119.0,9.37,8.8,4,2.38,2.0,False,45.05
MT,94,415,No,No,0,137.5,118.0,23.38,203.2,88.0,17.27,131.0,6.75,13.4,2,3.62,0.0,False,30.13
OK,118,408,No,Yes,23,289.5,52.0,49.22,166.6,111.0,14.16,88.0,5.36,9.5,4,2.57,1.0,False,54.58
MD,117,415,No,Yes,23,198.1,86.0,33.68,177.0,86.0,15.05,92.0,8.12,6.8,6,1.84,1.0,False,41.8
TN,78,415,No,No,0,149.7,119.0,25.45,182.2,115.0,15.49,126.0,11.77,9.7,8,2.62,0.0,False,37.22
TX,208,510,No,No,0,326.5,67.0,55.51,176.3,113.0,14.99,102.0,8.18,10.7,6,2.89,2.0,True,63.69
ME,131,510,Yes,Yes,26,292.9,101.0,49.79,199.7,97.0,16.97,127.0,11.49,13.8,7,3.73,4.0,True,61.28
DC,63,408,No,No,0,83.0,64.0,14.11,177.0,106.0,15.05,89.0,11.06,13.0,3,3.51,0.0,False,25.17
MN,53,415,No,Yes,24,145.7,146.0,24.77,220.5,136.0,18.74,96.0,11.25,13.1,5,3.54,3.0,False,36.019999999999996
DE,62,408,No,No,0,182.3,101.0,30.99,328.2,93.0,27.9,131.0,11.03,11.2,1,3.02,2.0,False,42.019999999999996
MD,97,415,No,No,0,218.0,86.0,37.06,184.0,94.0,15.64,110.0,10.82,6.4,8,1.73,3.0,False,47.88
MI,105,510,No,No,0,140.6,109.0,23.9,178.6,51.0,15.18,83.0,9.76,6.8,3,1.84,2.0,False,33.66
WA,157,415,No,No,0,152.7,105.0,25.96,257.5,80.0,21.89,93.0,8.91,9.4,4,2.54,1.0,False,34.870000000000005
MO,66,415,No,Yes,36,106.7,76.0,18.14,209.8,77.0,17.83,117.0,8.57,12.1,2,3.27,1.0,False,26.71
IN,122,415,No,No,0,243.8,98.0,41.45,83.9,72.0,7.13,84.0,8.09,13.7,8,3.7,2.0,False,49.540000000000006
OR,38,415,No,No,0,194.4,94.0,33.05,186.7,95.0,15.87,90.0,10.05,10.8,5,2.92,3.0,False,43.099999999999994
MD,106,510,No,No,0,213.9,95.0,36.36,151.9,70.0,12.91,124.0,11.7,12.2,5,3.29,3.0,False,48.06
RI,99,510,No,No,0,217.2,112.0,36.92,246.7,89.0,20.97,89.0,10.17,15.8,7,4.27,3.0,False,47.09
LA,99,415,No,No,0,241.1,72.0,40.99,155.6,98.0,13.23,109.0,8.47,11.6,10,3.13,1.0,False,49.46
AZ,144,510,Yes,No,0,203.5,100.0,34.6,247.6,103.0,21.05,94.0,8.74,11.9,11,3.21,0.0,False,43.34
PA,82,415,No,Yes,24,155.2,131.0,26.38,244.5,106.0,20.78,68.0,5.51,10.7,3,2.89,1.0,False,31.89
AZ,86,408,No,Yes,31,167.6,139.0,28.49,113.0,118.0,9.61,121.0,11.11,12.2,6,3.29,1.0,False,39.599999999999994
FL,70,510,Yes,No,0,226.7,98.0,38.54,228.1,115.0,19.39,93.0,3.29,17.6,4,4.75,2.0,True,41.83
LA,93,415,No,No,0,179.3,93.0,30.48,178.6,98.0,15.18,131.0,10.13,11.5,6,3.11,3.0,False,40.61
FL,93,415,No,No,0,151.4,89.0,25.74,186.4,76.0,15.84,120.0,7.76,10.9,3,2.94,0.0,False,33.5
FL,120,415,No,No,0,180.0,80.0,30.6,224.2,82.0,19.06,91.0,11.94,4.7,7,1.27,3.0,False,42.54
MD,136,415,No,No,0,250.2,121.0,42.53,267.1,118.0,22.7,114.0,6.8,13.0,2,3.51,1.0,True,49.33
AL,106,415,No,No,0,223.0,121.0,37.91,110.1,98.0,9.36,107.0,8.49,7.1,12,1.92,0.0,False,46.4
WA,81,415,No,No,0,183.6,116.0,31.21,152.6,98.0,12.97,99.0,9.55,12.2,6,3.29,3.0,False,40.760000000000005
TN,127,408,No,Yes,22,166.0,114.0,28.22,174.5,103.0,14.83,68.0,11.02,10.2,6,2.75,1.0,False,39.239999999999995
MS,65,415,No,No,0,136.1,112.0,23.14,272.9,96.0,23.2,104.0,9.91,4.4,2,1.19,1.0,False,33.05
ME,35,408,No,No,0,149.3,113.0,25.38,242.2,122.0,20.59,104.0,7.84,8.9,6,2.4,2.0,False,33.22
OK,88,408,No,No,0,65.4,97.0,11.12,168.2,76.0,14.3,113.0,10.62,13.8,1,3.73,2.0,False,21.74
IN,65,415,No,No,0,213.4,111.0,36.28,234.5,94.0,19.93,123.0,11.25,2.7,4,0.73,1.0,False,47.53
MO,123,415,No,No,0,206.9,85.0,35.17,244.7,78.0,20.8,136.0,9.97,7.7,2,2.08,3.0,False,45.14
IA,126,408,No,Yes,27,186.2,78.0,31.65,189.6,83.0,16.12,139.0,3.44,9.6,3,2.59,2.0,False,35.089999999999996
VA,104,415,No,Yes,23,280.2,136.0,47.63,220.5,92.0,18.74,102.0,6.16,13.3,3,3.59,4.0,False,53.790000000000006
KY,45,415,No,Yes,22,196.6,84.0,33.42,313.2,92.0,26.62,108.0,7.35,11.9,3,3.21,0.0,False,40.77
MD,93,408,Yes,No,0,312.0,109.0,53.04,129.4,100.0,11.0,74.0,9.79,10.5,2,2.84,0.0,True,62.83
